City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Wuwei,CN,37.9281,102.6414,80.65,33,55,18.21,broken clouds
108,Thompson,CA,55.7435,-97.8558,75.36,46,75,12.66,smoke
109,Terenos,BR,-20.4422,-54.8603,63.45,45,95,6.73,overcast clouds
110,Loughrea,IE,53.1969,-8.5669,49.05,94,100,2.26,overcast clouds
111,Mahibadhoo,MV,3.7833,72.9667,82.51,72,100,9.48,light rain
112,Khatanga,RU,71.9667,102.5,70.74,48,89,5.46,overcast clouds
113,Teguise,ES,29.0605,-13.564,66.42,78,75,17.27,broken clouds
114,Dikson,RU,73.5069,80.5464,42.94,98,100,11.48,overcast clouds
115,Guerrero Negro,MX,27.9769,-114.0611,74.68,74,0,14.12,clear sky
116,Nikolskoye,RU,59.7035,30.7861,61.02,83,100,4.45,light rain
117,Mayo,US,38.8876,-76.5119,72.48,94,90,8.01,heavy intensity rain
118,Tapes,BR,-30.6733,-51.3958,50.22,88,0,6.24,clear sky
119,Liuzhou,CN,24.3126,109.3892,91.09,59,69,2.66,broken clouds
120,Itupiranga,BR,-5.1347,-49.3267,76.23,59,53,1.9,broken clouds
121,Talnakh,RU,69.4865,88.3972,65.62,63,84,5.59,broken clouds
122,Saint George,US,37.1041,-113.5841,93.63,27,12,4.0,few clouds
123,Saint-Joseph,RE,-21.3667,55.6167,63.21,71,26,8.39,scattered clouds
124,Sistranda,NO,63.7256,8.834,50.9,70,42,9.86,scattered clouds
125,Rocha,UY,-34.4833,-54.3333,44.1,96,0,3.29,clear sky
126,North Myrtle Beach,US,33.816,-78.68,77.11,94,40,0.0,moderate rain
127,Zhigansk,RU,66.7697,123.3711,77.72,42,2,14.38,clear sky
128,Balikpapan,ID,-1.2675,116.8289,81.59,89,20,5.75,few clouds
129,Progreso,MX,21.2833,-89.6667,81.73,80,93,12.86,overcast clouds
130,Rovaniemi,FI,66.5,25.7167,49.41,93,90,8.05,overcast clouds
131,Ngunguru,NZ,-35.6167,174.5,65.16,60,44,8.99,scattered clouds
132,Narsaq,GL,60.9167,-46.05,55.62,92,100,7.54,light rain
133,Fereydun Kenar,IR,36.6864,52.5225,79.38,80,71,7.4,broken clouds
134,Vila Velha,BR,-20.3297,-40.2925,60.75,88,40,4.61,scattered clouds
135,Yatou,CN,37.15,122.3833,83.59,62,1,0.29,light rain
136,Kodiak,US,57.79,-152.4072,56.66,94,97,4.97,overcast clouds
137,Lavrentiya,RU,65.5833,-171.0,41.45,87,100,18.34,light rain
138,Te Anau,NZ,-45.4167,167.7167,47.89,86,100,1.21,light rain
139,Houma,US,29.5958,-90.7195,84.2,83,1,5.75,clear sky
140,Shitkino,RU,56.3703,98.3543,63.75,79,100,4.32,overcast clouds
141,Chapais,CA,49.7834,-74.8492,51.8,79,100,4.88,overcast clouds
142,Yerbogachen,RU,61.2767,108.0108,72.03,44,100,9.8,overcast clouds
143,Marzuq,YE,14.4,46.4667,77.83,68,32,4.85,scattered clouds
144,Madona,LV,56.8533,26.217,57.47,99,100,1.9,moderate rain
145,Taoudenni,ML,22.6783,-3.9836,96.46,27,77,15.08,broken clouds
146,Vostok,RU,46.4856,135.8833,84.02,46,68,4.25,broken clouds
147,Kavieng,PG,-2.5744,150.7967,82.67,78,10,10.69,light rain
148,Kapoeta,SS,4.7717,33.5903,76.84,54,99,2.93,overcast clouds
149,Norman Wells,CA,65.282,-126.8329,87.84,25,1,4.61,smoke
150,Hasaki,JP,35.7333,140.8333,88.29,81,32,11.1,scattered clouds
151,Santa Cruz De La Palma,ES,28.6835,-17.7642,72.14,73,75,14.97,broken clouds
152,Zhanaozen,KZ,43.3,52.8,87.39,11,0,5.28,clear sky
153,Ilulissat,GL,69.2167,-51.1,57.22,41,0,25.32,clear sky
